"bg_prop_A" "bg_prop_B" "E_radius_x" "E_radius_y" "E_radius_z" "N_width" "cluster_prop_B" "ring_width_factor" "cluster_x_coord" "variable_parameter"
"1" 0 0 75 100 125 37.5 0.25 0.15 150 "bg_prop_A"
"2" 0.0966000822139904 0 75 100 125 37.5 0.25 0.15 150 "bg_prop_A"
"3" 0.0534501040587202 0 75 100 125 37.5 0.25 0.15 150 "bg_prop_A"
"4" 0.0672663067700341 0 75 100 125 37.5 0.25 0.15 150 "bg_prop_A"
"5" 0.0211006745463237 0 75 100 125 37.5 0.25 0.15 150 "bg_prop_A"
"6" 0.0281624966301024 0 75 100 125 37.5 0.25 0.15 150 "bg_prop_A"
"7" 0.0187256706878543 0 75 100 125 37.5 0.25 0.15 150 "bg_prop_A"
"8" 0.0813889927463606 0 75 100 125 37.5 0.25 0.15 150 "bg_prop_A"
"9" 0.0489256171276793 0 75 100 125 37.5 0.25 0.15 150 "bg_prop_A"
"10" 0.0290277487132698 0 75 100 125 37.5 0.25 0.15 150 "bg_prop_A"
"11" 0.0288194620516151 0 75 100 125 37.5 0.25 0.15 150 "bg_prop_A"
"12" 0.00814900370314717 0 75 100 125 37.5 0.25 0.15 150 "bg_prop_A"
"13" 0.0572055731201544 0 75 100 125 37.5 0.25 0.15 150 "bg_prop_A"
"14" 0.0570043483749032 0 75 100 125 37.5 0.25 0.15 150 "bg_prop_A"
"15" 0.0963075682753697 0 75 100 125 37.5 0.25 0.15 150 "bg_prop_A"
"16" 0.0346851453883573 0 75 100 125 37.5 0.25 0.15 150 "bg_prop_A"
"17" 0.0322457059752196 0 75 100 125 37.5 0.25 0.15 150 "bg_prop_A"
"18" 0.025468575861305 0 75 100 125 37.5 0.25 0.15 150 "bg_prop_A"
"19" 0.0275305651361123 0 75 100 125 37.5 0.25 0.15 150 "bg_prop_A"
"20" 0.0604683787794784 0 75 100 125 37.5 0.25 0.15 150 "bg_prop_A"
"21" 0.0505357963731512 0 75 100 125 37.5 0.25 0.15 150 "bg_prop_A"
"22" 0.0366029490483925 0 75 100 125 37.5 0.25 0.15 150 "bg_prop_A"
"23" 0.0555498853791505 0 75 100 125 37.5 0.25 0.15 150 "bg_prop_A"
"24" 0.0360927773173899 0 75 100 125 37.5 0.25 0.15 150 "bg_prop_A"
"25" 0.0904460182413459 0 75 100 125 37.5 0.25 0.15 150 "bg_prop_A"
"26" 0.0656549469102174 0 75 100 125 37.5 0.25 0.15 150 "bg_prop_A"
"27" 0.0359105272218585 0 75 100 125 37.5 0.25 0.15 150 "bg_prop_A"
"28" 0.0609243247425184 0 75 100 125 37.5 0.25 0.15 150 "bg_prop_A"
